"school_name_x","School Code","Number of Rating","Overall Quality","Reputation","Facilities","Opportunities","Clubs","Safety","Happiness","Social","school_name_y","place_id","overall_rating","number_of_review","accurate_address","matching_substring","CA Student Undergraduate","CA Student Graduate","International Student Undergraduate","International Student Graduate","Image Source"
"University of Alberta","/school/1407","695 Ratings","3.7","4.1","3.8","3.6","3.5","4.1","3.7","3.3","University of Alberta (Edmonton)","ChIJoxCPYfUhoFMRE7JXmPJlW8s","4.4","1489.0","116 St & 85 Ave, Edmonton, AB T6G 2R3, Canada","University of Alberta","$6,091","$4,287","$29,500","$11,186","https://www.universitystudy.ca/wp-content/uploads/2019/04/Alberta-colour-logo_280-2.jpg"
"University of Alberta","/school/19077","","","","","","","","","","University of Alberta (Augustana)","ChIJwaDBg9e7ClMRjljV9WGn_Ac","4.7","40.0","Founders' Hall, 4901 46 Ave, Camrose, AB T4V 2R3, Canada","University of Alberta","$6,091","$4,287","$29,500","$11,186","https://www.universitystudy.ca/wp-content/uploads/2019/04/Alberta-colour-logo_280-2.jpg"
"Augustana Campus, University of Alberta","/school/1409","47 Ratings","4.0","4.1","4.2","3.6","3.4","4.7","4.1","3.7","Augustana Campus, University of Alberta","ChIJwaDBg9e7ClMRjljV9WGn_Ac","4.7","40.0","Founders' Hall, 4901 46 Ave, Camrose, AB T4V 2R3, Canada","University of Alberta","$6,091","$4,287","$29,500","$11,186","https://www.universitystudy.ca/wp-content/uploads/2019/04/Alberta-colour-logo_280-2.jpg"
"Alberta University of the Arts","/school/4235","61 Ratings","2.7","3.0","2.4","2.8","2.1","3.4","3.2","2.6","Alberta University of the Arts","ChIJfwFXEJNvcVMRxgonbK8uyZE","4.1","73.0","1407 14 Ave NW, Calgary, AB T2N 4R3, Canada","","","","","",""
"University of Calgary","/school/1416","713 Ratings","3.3","3.4","3.3","3.3","3.4","4.1","3.2","3.1","University of Calgary","ChIJsbMcSLd9cVMR-wPI46n0rzY","4.2","765.0","2500 University Dr NW, Calgary, AB T2N 1N4, Canada","University of Calgary","$6,598","$3,533 - $8,756","$24,408","$8,243 - $21,597","https://www.universitystudy.ca/wp-content/uploads/2018/08/uCalgary-2.jpg"
"University of Calgary School of Public Policy","/school/18207","","","","","","","","","","University of Calgary School of Public Policy","ChIJVVWVueZvcVMRXDBAg_U1-iA","","","906 8 Ave SW 5th floor, Calgary, AB T2P 1H9, Canada","University of Calgary","$6,598","$3,533 - $8,756","$24,408","$8,243 - $21,597","https://www.universitystudy.ca/wp-content/uploads/2018/08/uCalgary-2.jpg"
"York University -  Keele Campus","/school/1495","677 Ratings","3.4","3.2","3.5","3.4","3.5","2.8","3.5","3.3","York University -  Keele Campus","ChIJsS-SZyUuK4gR5tygSdYxhgQ","4.3","20.0","198 York Blvd, North York, ON M3J 2S5, Canada","York University","$6,118","$2,871","$32,756","$12,550","https://www.universitystudy.ca/wp-content/uploads/2021/02/York_logo_web-200-px.jpg"
"York University - Glendon Campus","/school/12125","106 Ratings","3.3","3.3","3.5","3.1","3.0","4.5","3.7","3.2","York University - Glendon Campus","ChIJwU0NjjPN1IkRslpFk20uXK8","4.5","116.0","2275 Bayview Ave, North York, ON M4N 3M6, Canada","York University","$6,118","$2,871","$32,756","$12,550","https://www.universitystudy.ca/wp-content/uploads/2021/02/York_logo_web-200-px.jpg"
"Western University","/school/1491","836 Ratings","3.9","4.0","4.1","3.8","4.1","4.1","4.1","4.1","Western University","ChIJ0SvEag7uLogRm3m5qlPzh6o","4.3","890.0","1151 Richmond St, London, ON N6A 3K7, Canada","Western University","$6,050","$6,360","$34,198 - $39,105","$19,364","https://www.universitystudy.ca/wp-content/uploads/2019/04/western_stacked_color_logo_200px.png"
"Western University ","/school/19001","","","","","","","","","","Western University ","ChIJ0SvEag7uLogRm3m5qlPzh6o","4.3","890.0","1151 Richmond St, London, ON N6A 3K7, Canada","Western University","$6,050","$6,360","$34,198 - $39,105","$19,364","https://www.universitystudy.ca/wp-content/uploads/2019/04/western_stacked_color_logo_200px.png"
"McMaster University","/school/1440","419 Ratings","4.0","4.5","4.2","4.0","4.0","4.2","4.3","4.0","McMaster University","ChIJwSr3RKyELIgRHAFDYeoAnjk","4.4","1019.0","1280 Main St W, Hamilton, ON L8S 4L8, Canada","McMaster University","$5,955 - $6,043","$6,307","$36,652 - $40,960","$6,307 - $17,096","https://www.universitystudy.ca/wp-content/uploads/2019/04/mcmaster-stacked_colour-logo_200px.jpg"
"DeGroote School of Business - McMaster University","/school/18210","","","","","","","","","","DeGroote School of Business - McMaster University","ChIJobcBgFObLIgRjAnSOJ7TJEM","4.6","19.0","Michael G. DeGroote School of Business, Hamilton, ON L8S 4E8, Canada","McMaster University","$5,955 - $6,043","$6,307","$36,652 - $40,960","$6,307 - $17,096","https://www.universitystudy.ca/wp-content/uploads/2019/04/mcmaster-stacked_colour-logo_200px.jpg"
"Université de Montréal","/school/1443","123 Ratings","3.5","4.1","3.3","3.4","2.8","4.4","3.5","2.9","Université de Montréal","ChIJOWZPqJoZyUwRMUWvDEYfKE4","4.3","691.0","2900 Bd Édouard-Montpetit, Montréal, QC H3T 1J4, Canada","","","","","",""
"Law Faculty Universite de Montreal","/school/18628","1 Ratings","2.8","3.0","3.0","1.0","2.0","5.0","2.0","3.0","Law Faculty Universite de Montreal","ChIJTe96YPEZyUwRncVJ2zZ4peg","4.8","18.0","3101 Ch de la Tour, Montréal, QC H3T 1J7, Canada","Universite de Montreal","$2,797 - $8,730","$2,797 - $8,730","$25,568","$17,192 - $19,390","https://www.etudesuniversitaires.ca/wp-content/uploads//2019/04/montreal_2-lines_color_logo_200px.png"
"University of Victoria","/school/1488","525 Ratings","3.7","3.9","4.1","3.6","3.5","4.2","4.1","3.5","University of Victoria","ChIJyyQgXgAxK4gR3Ck5YLo2INk","4.7","56.0","73 Queens Park #106, Toronto, ON M5S 1K7, Canada","University of Victoria","$6,045","$6,278","$21,818 - $27,836","$7,919","https://www.universitystudy.ca/wp-content/uploads/2019/04/victoria-bc_2-lines_color_logo_200px.png"
"Queen's University at Kingston","/school/1466","406 Ratings","4.0","4.4","4.2","4.0","4.0","4.2","4.2","4.1","Queen's University at Kingston","ChIJ6SXZzA-r0kwREXIlXE-KiiY","4.3","566.0","99 University Ave, Kingston, ON K7L 3N6, Canada","Queen's University","$6,083","$5,773 - $12,156","$45,261 - $53,472","$12,927 - $16,592","https://www.universitystudy.ca/wp-content/uploads/2019/04/queens-color-stacked-logo_200px.png"
"Toronto Metropolitan University","/school/1471","781 Ratings","3.7","3.7","3.8","4.0","3.6","2.9","4.0","3.7","Toronto Metropolitan University","ChIJlRMcQzXL1IkR9NYlkdaL7eg","4.2","936.0","350 Victoria St, Toronto, ON M5B 2K3, Canada","Toronto Metropolitan University","$6,093 - $6,608","$4,307 - $17,605","$30,100","$22,560 - $30,620","https://www.universitystudy.ca/wp-content/uploads/2022/05/Toronto-Metropolitan_logo_web200x-1.jpg"
